0,1,2,3,4,5,6,label
-0.70156807,0.68937135,-0.94195646,-0.41345498,-0.0299664,-0.49604166,0.024665087,1
-0.6391229,0.29277438,-0.97375786,-0.5982053,-0.047129527,-0.4169953,0.21595925,0
-0.19475159,0.93248487,-0.92807424,-0.63936436,-0.15992591,-0.2675422,-0.4990588,1
-0.3215152,0.5996798,-0.95418215,-0.65922785,-0.14749326,-0.3052028,-0.52916396,1
-0.75251204,0.22765417,-0.9682459,-0.36604476,-0.40817508,-0.23393875,-0.26929754,0
-0.5575279,0.45597515,-0.96434003,-0.6618272,-0.018188268,-0.47926316,0.05624774,0
-0.91100365,0.5134497,-0.9459729,-0.08670363,-0.38272953,-0.40683046,-0.0926342,1
-0.78214025,0.55896175,-0.9483949,-0.405105,-0.034508556,-0.39742726,0.38437313,0
-0.9034234,0.45713687,-0.9514869,-0.0698919,-0.46148258,-0.4516192,-0.2999476,1
-0.2814795,0.53927445,-0.9621264,-0.6487472,-0.33544424,-0.3941477,-0.24656163,0
0.012307763,0.3486721,-0.97691673,-0.25003016,-0.31999493,-0.48739833,0.16206077,0
-0.9353249,0.5283862,-0.941383,0.010788828,-0.47647873,-0.41824645,-0.3635832,1
-0.72725403,0.25099438,-0.97240406,-0.4160623,-0.30338332,-0.36185396,-0.22564077,0
-0.85007924,0.48865807,-0.9513629,-0.21525091,-0.28578252,-0.43742797,-0.0065881982,1
-0.83435106,0.43880743,-0.93898666,-0.13474599,-0.47827297,-0.20839627,-0.13765773,1
-0.5787624,0.7828727,-0.93816686,-0.5163524,0.03806299,-0.49045724,-0.21641439,1
-0.7896013,0.44402647,-0.9577393,-0.3039092,-0.22456758,-0.47550103,0.02048102,1
-0.8137299,0.3085767,-0.9620189,-0.22324131,-0.4733698,-0.33819902,-0.39608496,0
-0.74298203,0.3898836,-0.9635781,-0.3279968,-0.28857043,-0.49525344,-0.24285702,1
-0.77279836,0.4955597,-0.95036525,-0.29314703,-0.24950223,-0.29212376,-0.047259815,0
-0.46764755,0.44475308,-0.9677376,-0.68898064,-0.16735685,-0.4738923,-0.28515506,0
0.27029842,0.17402366,-0.9794884,0.3625487,0.66091937,-0.54446983,-0.54614645,0
-0.6526053,0.36946955,-0.9664252,-0.4964646,-0.17208749,-0.39592254,-0.11954215,1
-0.62472194,0.6998259,-0.94213855,-0.5669644,0.13767985,-0.4643908,0.29343668,0
-0.8661768,0.6768702,-0.9343134,-0.1832802,-0.19408461,-0.35770854,0.23521736,1
-0.75341237,0.42060107,-0.9608246,-0.32397297,-0.2380861,-0.49182016,-0.06883578,1
-0.8180566,0.47617173,-0.9443603,-0.21318546,-0.30170852,-0.4870045,-0.14562479,1
-0.70423424,0.3435741,-0.96844816,-0.3895644,-0.25777566,-0.45755365,-0.25724488,1
-0.83086425,0.71842635,-0.9343693,-0.24617505,-0.0876303,-0.5103248,0.17172033,1
-0.5519914,0.44298366,-0.96507186,-0.5930955,-0.070687756,-0.46237585,-0.31515926,0
-0.70774865,0.6783197,-0.9421656,-0.38029006,-0.059350103,-0.49684283,-0.16321306,1
-0.67533123,0.2935232,-0.972233,-0.5029991,-0.16950706,-0.41121903,0.013479516,0
-0.694268,0.43084335,-0.95979065,-0.4016911,-0.19826229,-0.48128676,0.01657109,0
-0.63797605,0.86794364,-0.92971545,-0.40733516,0.03450194,-0.5048959,-0.20080757,1
-0.6876598,0.5250762,-0.9529131,-0.45086867,-0.10530765,-0.42222708,0.17414919,0
-0.5000659,0.27183014,-0.9783373,-0.702464,-0.14229295,-0.38707477,-0.17531753,0
-0.7035154,0.29621315,-0.9712972,-0.4297914,-0.26489708,-0.4243966,-0.2429547,1
-0.72429055,0.40221167,-0.9620532,-0.49609393,-0.07947259,-0.34957224,0.31037432,0
-0.66300803,0.32587755,-0.97043544,-0.568799,-0.052740782,-0.40049118,0.3261146,0
-0.80940497,0.52243066,-0.9489795,-0.26351005,-0.2558089,-0.3996006,-0.040541284,1
-0.84504473,0.44581208,-0.95553184,-0.22069238,-0.29347494,-0.4901605,-0.07097785,1
-0.48271692,0.6631908,-0.9480939,-0.5909865,-0.26301867,-0.4128776,-0.33012477,0
-0.69054073,0.2769801,-0.9725414,-0.44820705,-0.23691577,-0.41369408,-0.06234017,1
-0.14148176,0.503506,-0.9720405,-0.6830058,-0.4816792,-0.5565434,-0.5166042,0
-0.16652143,0.62588114,-0.95997983,-0.71045715,-0.43944985,-0.49544603,-0.18166159,0
-0.8612812,0.44129437,-0.95550674,-0.12259191,-0.4481914,-0.5102085,-0.46883196,1
0.17765057,0.6949731,-0.94992554,-0.71770585,-0.5009978,-0.20494995,-0.6976608,0
-0.49985024,0.45141208,-0.9641519,-0.6641861,-0.077123,-0.4063936,-0.19831383,0
-0.18364045,0.49529028,-0.96910286,-0.83252215,-0.20826074,-0.39323893,-0.24294269,0
-0.6449462,0.54143494,-0.95381904,-0.47816905,-0.11167273,-0.4427978,-0.08579366,0
-0.6867225,0.40899953,-0.96258885,-0.47640076,-0.13565949,-0.3805737,0.057010725,0
-0.13380131,0.5998652,-0.9565839,-0.5293201,-0.46585435,-0.3721834,-0.01572454,0
-0.62386096,0.4727023,-0.96103334,-0.53222597,-0.06090696,-0.4828557,-0.00434383,0
-0.86389804,0.4186436,-0.95662975,-0.111686856,-0.468982,-0.4680559,-0.43623254,1
-0.83393764,0.46215534,-0.955058,-0.18847881,-0.32539046,-0.5039178,-0.17957233,1
0.1707989,0.38784975,-0.9790272,-0.37677917,-0.5620012,-0.49834576,0.17961708,0
-0.8199444,0.48784614,-0.9533509,-0.26327717,-0.23268923,-0.47878668,-0.08051957,1
-0.3926552,0.8736222,-0.9348033,-0.6150464,0.0073463023,-0.4678713,-0.6131252,1
-0.5677086,0.6015368,-0.9535479,-0.48813027,-0.07063289,-0.5270378,-0.53235537,1
0.060521305,0.2645054,-0.9863288,-0.09476796,-0.19595964,-0.59941643,0.081937656,0
-0.25822976,0.63193136,-0.9560456,-0.7871725,-0.080053955,-0.35681856,-0.550323,0
-0.89540887,0.5304499,-0.93543625,-0.058414996,-0.43989152,-0.31658658,-0.028087124,1
-0.7580229,0.5829248,-0.94938034,-0.23758228,-0.23106422,-0.5085754,-0.33584207,1
-0.52839464,0.38926864,-0.9701276,-0.6509441,-0.030860886,-0.46265012,-0.08032599,0
-0.9241043,0.5863681,-0.9401459,-0.08599797,-0.3036416,-0.43345508,0.15662318,1
-0.8040331,0.4415681,-0.95579123,-0.27194574,-0.28015444,-0.41659126,-0.12081612,1
-0.3682726,0.47004044,-0.9665218,-0.7339423,-0.1948142,-0.37058133,-0.5021689,0
-0.23946488,0.45505607,-0.96813124,-0.7130451,-0.33958292,-0.329538,-0.5824897,0
-0.22754619,0.58298194,-0.965042,-0.7546133,-0.22074035,-0.56513464,-0.5322568,0
-0.6493916,0.27291727,-0.97447914,-0.5842712,-0.098162144,-0.35782436,0.27806106,0
-0.8123914,0.61508095,-0.9423486,-0.27099562,-0.12601802,-0.4448743,0.22117355,1
-0.6271238,0.8622433,-0.93103737,-0.3713269,0.03424865,-0.5015368,-0.048736088,1
-0.65245414,0.23002192,-0.9781072,-0.50437355,-0.23716253,-0.4250734,-0.24799988,0
-0.60684454,0.52707535,-0.95235693,-0.4074966,-0.21365982,-0.29290068,-0.12770694,0
-0.73661333,0.48806405,-0.95563334,-0.4029876,-0.11795645,-0.45579898,0.061677665,1
-0.8726978,0.5056691,-0.9502979,-0.12264055,-0.3823114,-0.4789363,-0.30168986,1
-0.7979426,0.49679846,-0.9540146,-0.25653565,-0.24274346,-0.4954738,-0.2778197,1
-0.14485678,0.30071118,-0.9812338,-0.59609044,-0.43035355,-0.43505666,-0.10460918,0
-0.04197097,0.5851716,-0.9628013,-0.63177824,-0.56753814,-0.52207106,-0.12570275,0
-0.70320785,0.25644505,-0.9714596,-0.52007854,-0.16287977,-0.352212,0.18427396,0
-0.124975055,0.36431867,-0.96863925,-0.29070884,-0.38642055,-0.45357394,-0.03619148,0
