0,1,2,3,label
-0.70156693,0.6893648,-0.9419571,-0.41346115,1
-0.6391224,0.2927599,-0.97375816,-0.5982162,0
-0.1947518,0.93248296,-0.92807525,-0.6393678,1
-0.32151484,0.59967077,-0.9541826,-0.6592325,1
-0.7525114,0.22763751,-0.96824586,-0.36605185,0
-0.55752736,0.45596296,-0.96434027,-0.661835,0
-0.9110031,0.51343966,-0.94597346,-0.08670899,1
-0.7821399,0.5589522,-0.9483954,-0.40511078,0
-0.90342295,0.45712546,-0.9514873,-0.06989762,1
-0.28147903,0.5392641,-0.96212673,-0.6487546,0
0.012308478,0.3486579,-0.97691685,-0.25003517,0
-0.9353246,0.52837664,-0.9413835,0.010784209,1
-0.7272534,0.250978,-0.972404,-0.41606966,0
-0.8500789,0.4886472,-0.9513633,-0.2152567,1
-0.8343507,0.43879595,-0.93898696,-0.13475113,1
-0.5787623,0.782868,-0.9381678,-0.51635957,1
-0.78960085,0.44401437,-0.95773965,-0.30391532,1
-0.8137293,0.30856183,-0.96201897,-0.22324751,0
-0.7429815,0.38987035,-0.96357834,-0.32800284,1
-0.77279794,0.49554902,-0.95036566,-0.29315257,0
-0.46764714,0.44474053,-0.96773785,-0.68898916,0
0.27029955,0.17400649,-0.9794883,0.36254895,0
-0.65260476,0.36945564,-0.9664253,-0.4964711,1
-0.62472177,0.6998193,-0.9421393,-0.56697226,0
-0.86617666,0.6768638,-0.93431413,-0.18328606,1
-0.7534119,0.4205885,-0.9608249,-0.3239791,1
-0.8180561,0.4761607,-0.94436073,-0.21319117,1
-0.7042337,0.34355962,-0.9684483,-0.38957098,1
-0.8308642,0.71842057,-0.93437016,-0.24618095,1
-0.5519909,0.4429713,-0.96507204,-0.5931026,0
-0.7077485,0.6783127,-0.94216645,-0.38029626,1
-0.67533064,0.29350758,-0.972233,-0.5030057,0
-0.69426745,0.43083096,-0.95979095,-0.40169775,0
-0.63797605,0.8679411,-0.9297166,-0.4073422,1
-0.6876594,0.5250659,-0.95291346,-0.45087522,0
-0.5000652,0.27181375,-0.9783371,-0.702472,0
-0.7035148,0.29619768,-0.9712972,-0.42979822,1
-0.72429013,0.40219843,-0.9620534,-0.49610037,0
-0.66300756,0.3258626,-0.97043556,-0.5688058,0
-0.8094046,0.5224206,-0.94898,-0.2635158,1
-0.84504426,0.44580013,-0.9555323,-0.22069894,1
-0.48271662,0.6631832,-0.94809467,-0.59099644,0
-0.6905401,0.27696413,-0.9725414,-0.44821408,1
-0.14148116,0.50349456,-0.97204083,-0.68301415,0
-0.16652107,0.6258725,-0.9599804,-0.71046555,0
-0.86128086,0.4412825,-0.95550716,-0.1225974,1
0.17765188,0.6949661,-0.949926,-0.7177137,0
-0.4998497,0.45139974,-0.9641522,-0.66419446,0
-0.18363997,0.49527878,-0.969103,-0.8325299,0
-0.64494586,0.5414249,-0.95381945,-0.47817558,0
-0.68672204,0.40898657,-0.962589,-0.47640723,0
-0.1338008,0.5998564,-0.9565845,-0.52932763,0
-0.6238604,0.47269064,-0.9610336,-0.5322319,0
-0.86389756,0.41863132,-0.95663005,-0.11169231,1
-0.8339373,0.4621439,-0.9550584,-0.18848462,1
0.17079973,0.38783628,-0.97902745,-0.3767857,0
-0.81994396,0.48783514,-0.9533514,-0.2632835,1
-0.39265522,0.8736193,-0.9348044,-0.61505437,1
-0.5677083,0.60152805,-0.9535485,-0.48813722,1
0.0605222,0.2644894,-0.9863288,-0.09477395,0
-0.2582294,0.63192284,-0.95604616,-0.7871813,0
-0.8954085,0.53044045,-0.9354367,-0.058419824,1
-0.7580226,0.58291596,-0.949381,-0.23758788,1
-0.5283941,0.38925487,-0.97012764,-0.65095156,0
-0.9241041,0.58635956,-0.94014657,-0.086002916,1
-0.8040327,0.4415561,-0.9557916,-0.2719521,1
-0.36827213,0.47002834,-0.96652204,-0.73395044,0
-0.23946431,0.4550437,-0.9681314,-0.71305275,0
-0.22754586,0.5829722,-0.96504253,-0.7546233,0
