0,1,2,3,4,label
-0.7351727,0.77046365,-0.92049414,-0.51612914,-0.0059915036,1
-0.2804428,0.94737566,-0.8980384,-0.7914423,0.15216276,1
-0.40051162,0.7014391,-0.9357914,-0.8108098,0.11331789,1
-0.7862963,0.4232419,-0.96408236,-0.46656483,0.33875155,0
-0.84582937,0.5966091,-0.942993,-0.3134467,0.23139498,1
-0.71603924,0.718264,-0.92802507,-0.49519533,0.07958747,1
-0.92126524,0.635002,-0.93219584,-0.14907074,0.3368634,1
-0.80811614,0.67265815,-0.9319279,-0.50553155,-0.0037264228,0
-0.91639876,0.5924029,-0.93983316,-0.13552585,0.40990883,1
-0.8501097,0.54677695,-0.9511084,-0.2598076,0.3588537,1
-0.3557451,0.65652746,-0.9455047,-0.7871438,0.3087068,0
-0.0856787,0.5181594,-0.9678063,-0.3526243,0.27433765,0
-0.76329833,0.4444846,-0.96691924,-0.5425255,0.21036352,0
-0.63375884,0.88390434,-0.90586704,-0.6076357,-0.10731131,1
-0.76228666,0.44367337,-0.9674639,-0.5237731,0.23715776,0
-0.8700758,0.6179012,-0.93853986,-0.29537272,0.24101771,1
-0.857979,0.5683041,-0.92184955,-0.19780505,0.4384355,1
-0.62573147,0.8398095,-0.91282785,-0.6354687,-0.061342984,1
-0.81519186,0.5860232,-0.9454123,-0.3945835,0.17449546,1
-0.83996385,0.48144916,-0.9552793,-0.30940336,0.4081323,0
-0.52761453,0.5874583,-0.95435447,-0.82543135,0.11773842,0
0.16050828,0.402142,-0.9789476,0.29215407,-0.717324,0
-0.6955555,0.5317429,-0.9564652,-0.6119289,0.12534642,1
-0.6653489,0.7782073,-0.9188839,-0.6819131,-0.17606112,0
-0.7446201,0.57207596,-0.9465971,-0.42722258,0.24370015,1
-0.84141743,0.60388416,-0.9284678,-0.29265934,0.25601763,1
-0.74158657,0.51230544,-0.9597942,-0.49453616,0.20489676,1
-0.85218537,0.78900564,-0.9119027,-0.32592297,0.05663377,1
-0.3507734,0.78670526,-0.9199894,-0.81095695,0.16625893,0
-0.8214978,0.6382063,-0.9327547,-0.3471381,0.21900676,1
-0.727123,0.57635933,-0.94660574,-0.49961597,0.14208508,0
-0.67927104,0.90232474,-0.9017156,-0.51199824,-0.059450224,1
-0.72218734,0.64601195,-0.93711674,-0.553527,0.06115961,0
-0.5580115,0.4594506,-0.9709189,-0.8427738,0.08768748,0
-0.74108636,0.47736835,-0.96430683,-0.540213,0.20771287,1
-0.7581627,0.55611223,-0.95120215,-0.60911363,0.032726318,0
-0.86561906,0.5871227,-0.94324124,-0.301094,0.24125229,1
-0.5397896,0.7489313,-0.92758685,-0.71661496,0.23290777,0
-0.7288944,0.4627673,-0.9660195,-0.5568678,0.17287003,1
-0.25080588,0.72158194,-0.939916,-0.8517449,0.41950893,0
-0.7561284,0.5201009,-0.9571533,-0.55431265,0.098197564,0
-0.6691288,0.5780441,-0.95086575,-0.67402494,-0.0040597916,0
-0.27346152,0.6254784,-0.95301336,-0.9918574,0.1777418,0
0.74995935,0.81446296,-0.9231308,0.19262946,0.67946374,0
-0.6865354,0.6594316,-0.9371008,-0.590762,0.072509654,0
-0.7235,0.5606596,-0.95127726,-0.5871206,0.08769843,0
-0.22275904,0.6982824,-0.93916154,-0.6589356,0.445903,0
-0.66614014,0.60893047,-0.9468799,-0.6496459,0.017594635,0
-0.8887794,0.7309978,-0.92136216,-0.2581033,0.10476811,1
-0.75374454,0.52355427,-0.95657647,-0.48372445,0.21031506,1
-0.85349244,0.59927684,-0.9422709,-0.26515532,0.27790427,1
0.055413544,0.5438875,-0.968476,-0.49144638,0.51368904,0
-0.84273356,0.6192772,-0.9398379,-0.3483645,0.18855686,1
-0.46031636,0.9062575,-0.9061004,-0.7516817,-0.030898303,1
-0.6179836,0.7051709,-0.9345431,-0.6067902,0.026718795,1
-0.8330648,0.5279099,-0.952415,-0.28930563,0.3719167,1
-0.036988914,0.4595865,-0.9802706,-0.17091334,0.11781849,0
-0.90905195,0.64191717,-0.91948956,-0.11269614,0.39408895,1
