0,1,2,3,4,label
-0.65864015,0.3369801,-0.97391474,-0.7195834,-0.06157674,0
-0.26929742,0.93534994,-0.9237109,-0.7738012,-0.27470168,1
-0.378078,0.62319916,-0.9516689,-0.79271954,-0.22985758,1
-0.8315822,0.48699138,-0.9574768,-0.30136532,-0.3138012,1
-0.58787274,0.490552,-0.9628448,-0.7944706,-0.056521863,0
-0.7056096,0.6429747,-0.94588244,-0.48958233,-0.16163746,1
-0.9139682,0.5383178,-0.9488235,-0.13839436,-0.41395193,1
-0.797497,0.5840384,-0.9484641,-0.5081334,-0.05201137,0
-0.83484226,0.4248907,-0.96298426,-0.23890372,-0.45610884,1
-0.34232858,0.5649689,-0.9601492,-0.77560544,-0.40940678,0
-0.077138305,0.39109513,-0.97758436,-0.3480308,-0.35878232,0
-0.7438136,0.2954756,-0.974061,-0.53295857,-0.2930917,0
-0.9363961,0.5495185,-0.94495344,-0.024765939,-0.51841533,1
-0.6247669,0.85113287,-0.9302755,-0.6029241,0.010950923,1
-0.8485973,0.46720424,-0.9423758,-0.19270828,-0.5157336,1
-0.8005219,0.47514772,-0.9591132,-0.38307276,-0.24999057,1
-0.8230122,0.34670705,-0.9654064,-0.2873131,-0.50548357,0
-0.7566324,0.42362034,-0.9650757,-0.40936667,-0.32821378,1
-0.7910432,0.52383614,-0.9514068,-0.37878916,-0.28659028,0
-0.5066245,0.47848943,-0.96594286,-0.8149303,-0.21614361,0
0.1755547,0.25281507,-0.9814948,0.29881036,0.688025,0
-0.6760199,0.4074047,-0.9668846,-0.60549265,-0.21233684,1
-0.65753174,0.7195308,-0.9397723,-0.6945033,0.10752943,0
-0.7289104,0.4595975,-0.95952827,-0.42054674,-0.3357678,1
-0.8776761,0.69281566,-0.9352724,-0.2489139,-0.21814942,1
-0.7655016,0.45294428,-0.9621365,-0.40534648,-0.27068993,1
-0.8285023,0.50216645,-0.9459199,-0.27845007,-0.33763227,1
-0.84589887,0.73237795,-0.9342912,-0.3230172,-0.12000747,1
-0.33405122,0.73552287,-0.93976694,-0.8035855,-0.28759462,0
-0.8105521,0.54449904,-0.9495753,-0.33814943,-0.29510605,1
-0.58423257,0.47642407,-0.9640206,-0.71486866,-0.12277509,0
-0.7313186,0.6954024,-0.94136417,-0.47712576,-0.11284007,1
-0.6914958,0.33638006,-0.97320485,-0.61031914,-0.19246976,0
-0.71168685,0.4634125,-0.9606182,-0.4953403,-0.22869861,0
-0.6726547,0.87550235,-0.9270531,-0.5098774,-0.0343294,1
-0.7084239,0.5514574,-0.9528288,-0.5509926,-0.13665095,0
-0.5327806,0.31755322,-0.97777534,-0.83552766,-0.18073116,0
-0.7209699,0.33751428,-0.97275543,-0.527532,-0.2965948,1
-0.74223673,0.43789303,-0.96263623,-0.6079522,-0.094409525,0
-0.6811532,0.3678473,-0.97060084,-0.6884293,-0.06495525,0
-0.8223006,0.5480651,-0.9504662,-0.34006763,-0.29177266,1
-0.8518234,0.47655666,-0.9574629,-0.28553677,-0.31781307,1
-0.5275665,0.68219364,-0.9459561,-0.70048994,-0.32725045,0
-0.21149743,0.5292986,-0.9694055,-0.80388623,-0.56416833,0
-0.23647946,0.64333063,-0.95698744,-0.834484,-0.5192413,0
-0.8668691,0.46959096,-0.95826733,-0.17518765,-0.49238217,1
0.06902999,0.7079196,-0.9462996,-0.8553497,-0.60938764,0
-0.5375838,0.48727158,-0.9625851,-0.7958904,-0.13196994,0
-0.7372633,0.39058155,-0.967423,-0.5512258,-0.17112064,0
-0.6515394,0.46644446,-0.96318245,-0.67297226,-0.08088103,0
-0.25311136,0.52690184,-0.96566004,-0.98234314,-0.2758587,0
0.7227433,0.7719013,-0.9436073,0.20657349,-0.73871666,0
-0.7071937,0.44369122,-0.96312827,-0.58482957,-0.1642608,0
-0.21230131,0.6193501,-0.9550125,-0.6379355,-0.5273222,0
-0.6476724,0.50333256,-0.9604244,-0.64756274,-0.099657595,0
-0.8685745,0.44811064,-0.9597075,-0.16205639,-0.5132276,1
-0.8813262,0.65665627,-0.94120485,-0.25191894,-0.17306106,1
-0.7347246,0.39726436,-0.96726996,-0.4681738,-0.29875687,1
0.06478119,0.42386013,-0.9788085,-0.47896272,-0.6055386,0
-0.8299829,0.51616126,-0.95473224,-0.33878374,-0.26406175,1
-0.59982663,0.6255115,-0.9518325,-0.5939141,-0.14535043,1
-0.8164798,0.40356606,-0.96407086,-0.26589283,-0.471617,1
-0.026604295,0.31929725,-0.9870233,-0.17485678,-0.23060179,0
-0.32157215,0.6576581,-0.9518205,-0.93784654,-0.17202505,0
-0.77546823,0.6060072,-0.94985443,-0.31199843,-0.28948578,1
-0.56025684,0.4265373,-0.96907914,-0.77994335,-0.06496987,0
-0.9277793,0.6069893,-0.9421883,-0.134907,-0.32692704,1
-0.8154972,0.47222608,-0.9576752,-0.34818196,-0.31271595,1
-0.83212066,0.7031461,-0.9373541,-0.30615887,-0.18883097,1
-0.64435476,0.51028943,-0.9604799,-0.6574421,-0.1490709,0
-0.4179262,0.5027433,-0.96428853,-0.8742796,-0.26620454,0
-0.29879808,0.48740312,-0.96617746,-0.84775263,-0.42243394,0
-0.8346298,0.65529037,-0.9390625,-0.27963173,-0.2337422,1
