0,1,2,3,4,5,label
-0.7351733,0.7704667,-0.92049307,-0.5161338,-0.00590162,-0.5326138,1
-0.28044295,0.9473759,-0.8980368,-0.7914423,0.15230694,-0.3065292,1
-0.40051183,0.7014431,-0.935791,-0.8108152,0.1134522,-0.32667616,1
-0.7862963,0.42324936,-0.9640822,-0.46656367,0.33882126,-0.37080854,0
-0.84582925,0.59661424,-0.94299245,-0.31344765,0.23147142,-0.49359098,1
-0.71603924,0.7182675,-0.92802435,-0.495196,0.07967359,-0.46963194,1
-0.921265,0.6350066,-0.9321952,-0.14906946,0.33697084,-0.45545688,1
-0.8081161,0.67266226,-0.93192726,-0.5055319,-0.0036188364,-0.5332055,0
-0.9163987,0.59240806,-0.93983257,-0.13552657,0.409999,-0.44733596,1
-0.8501095,0.54678273,-0.9511079,-0.25980884,0.35892624,-0.44932893,1
-0.35574523,0.65653193,-0.9455041,-0.78714395,0.30878666,-0.4477897,0
-0.0856787,0.5181657,-0.9678059,-0.35262468,0.27442116,-0.5405132,0
-0.7632984,0.44449174,-0.96691906,-0.54252493,0.21044184,-0.4260826,0
-0.6337588,0.8839057,-0.9058659,-0.6076362,-0.107227296,-0.50726116,1
-0.76228666,0.44368055,-0.96746373,-0.5237725,0.23723325,-0.4310253,0
-0.87007576,0.61790603,-0.93853927,-0.29537338,0.24111095,-0.49275693,1
-0.8579788,0.56830937,-0.921849,-0.19780478,0.43854696,-0.3692749,1
-0.62573147,0.8398115,-0.91282684,-0.635469,-0.061253488,-0.49597067,1
-0.81519186,0.58602846,-0.9454118,-0.39458483,0.17459264,-0.5127214,1
-0.8399638,0.48145574,-0.955279,-0.30940315,0.4082205,-0.39462075,0
-0.5276145,0.58746356,-0.954354,-0.82543135,0.11781348,-0.5034236,0
0.16050816,0.40214974,-0.9789474,0.29215395,-0.71720403,-0.50138867,0
-0.69555545,0.53174883,-0.9564648,-0.61192906,0.1254355,-0.45961607,1
-0.6653487,0.77821004,-0.9188831,-0.68191284,-0.17596155,-0.5668496,0
-0.74462,0.5720814,-0.9465966,-0.42722058,0.24380301,-0.47228017,1
-0.84141743,0.60388905,-0.9284673,-0.2926605,0.25610292,-0.49429625,1
-0.74158645,0.5123117,-0.9597939,-0.49453717,0.20497423,-0.46354622,1
-0.8521853,0.78900814,-0.91190183,-0.3259241,0.056715757,-0.5600719,1
-0.35077363,0.78670794,-0.9199885,-0.8109549,0.1664129,-0.35759312,0
-0.82149774,0.63821083,-0.93275404,-0.3471373,0.21909864,-0.45728135,1
-0.7271229,0.57636476,-0.94660527,-0.49961618,0.1421906,-0.52968174,0
-0.67927104,0.90232587,-0.90171444,-0.5119983,-0.059367985,-0.5046962,1
-0.7221872,0.6460164,-0.93711615,-0.5535263,0.061259627,-0.5310355,0
-0.5580115,0.45945755,-0.9709187,-0.8427738,0.08778252,-0.4628594,0
-0.74108624,0.4773751,-0.9643066,-0.5402137,0.20779128,-0.45379877,1
-0.75816256,0.5561179,-0.95120174,-0.60911465,0.032840252,-0.49988472,0
-0.86561906,0.5871279,-0.9432407,-0.30109516,0.24133235,-0.50562435,1
-0.5397897,0.7489345,-0.927586,-0.7166158,0.23299335,-0.46145582,0
-0.72889435,0.46277422,-0.96601933,-0.55686796,0.17296341,-0.47991064,1
-0.25080597,0.7215856,-0.9399153,-0.8517449,0.41955632,-0.52172965,0
-0.75612825,0.52010703,-0.95715296,-0.55431193,0.098305985,-0.5090577,0
-0.6691287,0.57804954,-0.95086527,-0.67402446,-0.0039762557,-0.5090961,0
-0.27346167,0.6254834,-0.9530129,-0.9918566,0.17782246,-0.45092782,0
0.74995875,0.8144654,-0.92312974,0.19262916,0.67955697,-0.7101387,0
-0.6865353,0.65943587,-0.9371002,-0.5907625,0.072606996,-0.49312508,0
-0.7235,0.56066525,-0.95127684,-0.58712053,0.08779076,-0.47988304,0
-0.2227593,0.69828635,-0.9391608,-0.6589354,0.44595158,-0.48957694,0
-0.6661401,0.6089355,-0.9468794,-0.6496461,0.01769133,-0.5219454,0
-0.88877934,0.73100114,-0.9213613,-0.25810507,0.104868725,-0.56112355,1
-0.7537444,0.52356035,-0.95657617,-0.48372582,0.21041752,-0.48025975,1
-0.8534924,0.5992819,-0.94227034,-0.2651561,0.27798852,-0.488981,1
0.055413187,0.5438936,-0.96847564,-0.49144712,0.5137549,-0.5518412,0
-0.8427335,0.619282,-0.9398373,-0.3483653,0.18863308,-0.49702197,1
-0.46031642,0.9062587,-0.90609926,-0.751683,-0.03077817,-0.4181891,1
-0.6179835,0.7051747,-0.93454236,-0.60679126,0.026813403,-0.45534408,1
-0.8330647,0.5279159,-0.95241463,-0.2893067,0.37201074,-0.42954043,1
-0.036989093,0.4595936,-0.9802704,-0.17091304,0.11796019,-0.5976038,0
-0.9090519,0.6419215,-0.9194889,-0.112695485,0.3941958,-0.43396035,1
-0.7856518,0.69081944,-0.9320758,-0.32343513,0.19377974,-0.4628519,1
-0.5816629,0.54599065,-0.9587767,-0.7810028,-0.021695405,-0.49861965,0
-0.8292259,0.58291113,-0.94406235,-0.36011687,0.23267122,-0.46148157,1
-0.8382612,0.76634955,-0.9164288,-0.31091613,0.11989636,-0.5301818,1
-0.6600587,0.6140402,-0.94702137,-0.6686422,0.06221649,-0.5398592,0
-0.44172275,0.60488623,-0.9524258,-0.88316846,0.15018894,-0.4049483,0
-0.32612872,0.5930679,-0.95502067,-0.8655518,0.29715404,-0.35440278,0
-0.8391239,0.72642696,-0.91924274,-0.2828851,0.16675474,-0.529068,1
-0.50299233,0.51893926,-0.9649829,-0.83964705,0.13712269,-0.49175346,0
-0.30712163,0.6891308,-0.9460587,-0.89922124,0.17721492,-0.50731665,0
-0.69158506,0.46204817,-0.9675869,-0.70364976,0.041415945,-0.50228137,0
-0.835038,0.7122789,-0.9239098,-0.35368183,0.08775314,-0.5296939,1
-0.69475687,0.4282446,-0.97321457,-0.6228498,0.17863576,-0.44964173,0
-0.89890456,0.6979061,-0.926493,-0.17576525,0.2667728,-0.48912048,1
-0.50121355,0.76313883,-0.9279583,-0.8024495,-0.044095963,-0.52195585,0
-0.8242239,0.6261268,-0.9401868,-0.34394264,0.19608964,-0.47314155,1
-0.23602113,0.4792869,-0.9727748,-0.7388358,0.39126453,-0.4977569,0
-0.13631108,0.68936837,-0.94513357,-0.7744391,0.55190396,-0.5475426,0
-0.73892677,0.4491516,-0.96489906,-0.63047564,0.10528395,-0.48855293,0
-0.21423596,0.52968174,-0.96002775,-0.38988155,0.34212655,-0.54220384,0
0.17223018,0.6407977,-0.9245599,-0.6594142,0.445043,-0.22756031,0
-0.86080813,0.5781855,-0.9423933,-0.2028026,0.4018011,-0.43459228,1
-0.77835906,0.54698944,-0.94656545,-0.28403455,0.44011992,-0.36357066,1
-0.82703817,0.7113675,-0.92829216,-0.32283592,0.09433255,-0.5351563,1
-0.43244955,0.58698726,-0.9526533,-0.76112545,0.23692657,-0.36049148,0
-0.7396095,0.60880405,-0.9440149,-0.522931,0.07416455,-0.5212358,0
-0.19744739,0.5840341,-0.95506454,-0.87489176,0.47700262,-0.5190857,0
-0.17405272,0.5163422,-0.9671047,-0.7565337,0.5750624,-0.5027496,0
-0.9810199,0.72046256,-0.91799265,-0.040113866,0.34383702,-0.5039018,1
0.69007516,0.6871653,-0.9355389,0.06208253,-0.20789534,-0.9733728,0
-0.6921334,0.61067015,-0.9429607,-0.6433094,0.020129248,-0.48662266,0
-0.80743027,0.63979244,-0.93734366,-0.44354832,0.07273268,-0.51268405,0
-0.88829416,0.7522569,-0.91868895,-0.23671837,0.14642525,-0.55047476,1
-0.63689417,0.6778501,-0.9383425,-0.56870186,0.023365557,-0.5355714,1
-0.845097,0.6151248,-0.94019526,-0.30067167,0.22875999,-0.4688747,1
-0.66955924,0.9313896,-0.8967943,-0.5204486,-0.056172878,-0.4951059,1
-0.82687134,0.5664432,-0.94583136,-0.34647754,0.28739434,-0.45353448,1
-0.0018933415,0.3553127,-0.9892555,-0.07122764,-0.55329406,-0.25576565,0
0.27671778,0.49895436,-0.91533595,-0.15284091,-0.25984564,0.3177874,0
-0.60300916,0.5450524,-0.95731807,-0.799397,-0.04147117,-0.49049795,0
-0.7017712,0.5094864,-0.96031815,-0.6187874,0.10187422,-0.51034075,1
-0.81882,0.65514123,-0.9354031,-0.3581472,0.12493374,-0.5589514,1
-0.8407898,0.7334675,-0.9224996,-0.39803126,0.037722275,-0.5783004,0
-0.599783,0.5492245,-0.95832294,-0.75514066,0.09476443,-0.50206244,0
-0.8895677,0.7308328,-0.9226669,-0.2973023,0.08815146,-0.5626728,1
-0.8630177,0.73939574,-0.920773,-0.17835873,0.28342927,-0.4749602,1
-0.07203925,0.4627953,-0.9779463,-0.5414506,0.380564,-0.5873366,0
-0.7154904,0.47705138,-0.9643444,-0.6236781,0.095778495,-0.48584837,0
-0.8966157,0.54983944,-0.9475175,-0.12907869,0.49544802,-0.4041551,1
0.642725,0.7792753,-0.9360416,-0.45278728,0.8610608,-0.67125547,0
-0.7312336,0.6088856,-0.94498616,-0.5481761,0.066490754,-0.52372223,1
-0.72833824,0.66947037,-0.9307447,-0.48837185,0.14092347,-0.45506665,0
-0.7185987,0.4759757,-0.96553606,-0.60150623,0.112031914,-0.4875259,0
-0.4241822,0.9278395,-0.9028893,-0.76469785,-0.0052015483,-0.38696828,1
-0.11747193,0.7503412,-0.9366039,-0.57310796,0.6406692,-0.4505793,0
-0.66862476,0.76746833,-0.92377186,-0.4401304,0.09146862,-0.5065406,1
-0.9266099,0.6122923,-0.9321704,-0.11363128,0.4008374,-0.44466862,1
-0.7600008,0.48210734,-0.96228343,-0.54788655,0.16183297,-0.4752873,0
-0.855129,0.56770116,-0.94723684,-0.24669261,0.36368203,-0.46730644,1
-0.7241043,0.47923142,-0.9623749,-0.6584763,0.04834932,-0.49145633,0
-0.85384995,0.5875503,-0.943229,-0.2680392,0.322055,-0.46254197,1
-0.6960416,0.45163268,-0.969124,-0.668074,0.09385498,-0.48021543,0
0.30509877,0.544864,-0.9582939,-0.3268446,0.5486118,-0.8172085,0
-0.6533378,0.7036358,-0.9259589,-0.31610084,0.3563029,-0.3632413,1
-0.8820511,0.690225,-0.92833114,-0.17580569,0.27294654,-0.49011874,1
-0.7640138,0.66572934,-0.9351575,-0.4453875,0.11042213,-0.53864557,1
0.3311605,0.45699638,-0.9820409,0.31248897,-0.5510046,-0.73527396,0
-0.7268306,0.7696849,-0.9164143,-0.3730365,0.25170228,-0.3859609,1
0.54156566,0.51857984,-0.9786216,-0.020726413,0.14142469,-0.5826945,0
0.4246738,0.5566754,-0.9605726,0.6177788,-0.35334665,-0.5504971,0
0.8295196,0.62320423,-0.96208537,0.049442887,0.17918776,-0.4872994,0
-0.85841507,0.69054383,-0.9217992,-0.1577535,0.38035113,-0.41364652,1
-0.45021695,0.7072124,-0.9369991,-0.7962565,0.12069454,-0.44872758,0
-0.71848756,0.6020354,-0.94283277,-0.52844656,0.1367183,-0.4571825,0
-0.79203266,0.65888447,-0.9354907,-0.3724517,0.1666153,-0.51566154,1
-0.8982665,0.59184146,-0.9427103,-0.16901365,0.36866778,-0.4567526,1
-0.83531386,0.53385544,-0.9437475,-0.25890434,0.40979213,-0.39623982,1
-0.52404225,0.49825245,-0.9677489,-0.86850786,0.061777145,-0.49563906,0
-0.3817339,0.63555187,-0.9488045,-0.90976644,0.09292674,-0.46467346,0
-0.69485146,0.49801713,-0.95014334,-0.63038385,0.15324908,-0.41405538,0
-0.59334505,0.6314676,-0.9459966,-0.6895162,0.17866847,-0.4862661,0
-0.7701773,0.82389617,-0.9129191,-0.40161175,0.020360276,-0.53609157,1
-0.2532472,0.6185812,-0.9476538,-0.519608,0.45233613,-0.32389617,0
-0.9797382,0.6639789,-0.92520446,-0.0059201717,0.45437548,-0.4318963,1
-0.7920981,0.57171804,-0.9480629,-0.41152498,0.19779071,-0.44610956,1
-0.82335097,0.5370536,-0.95342565,-0.3275594,0.33316833,-0.43997043,1
-0.7394712,0.69667894,-0.9323287,-0.4551296,0.08116724,-0.5180931,1
-0.8609686,0.57566893,-0.943566,-0.27363217,0.30254436,-0.4775455,1
