0,1,2,3,4,5,6,label
-0.7351721,0.77046406,-0.9204937,-0.51612866,-0.006028831,-0.5333747,-0.60366166,1
-0.28044307,0.9473753,-0.8980376,-0.7914436,0.15214224,-0.30693305,-0.7879363,1
-0.4005117,0.7014399,-0.9357912,-0.810811,0.11331128,-0.32771194,-0.8312737,1
-0.7862961,0.4232434,-0.9640821,-0.46656457,0.3386221,-0.37129283,-0.59642416,0
-0.8458293,0.59661007,-0.9429927,-0.31344634,0.23129421,-0.4947173,-0.7340731,1
-0.7160393,0.7182646,-0.92802465,-0.49519458,0.079521574,-0.4704387,-0.58616525,1
-0.921265,0.6350029,-0.9321955,-0.14906952,0.3367331,-0.45464662,-0.619047,1
-0.8081162,0.6726589,-0.9319275,-0.5055311,-0.0037528723,-0.5339455,-0.34726307,0
-0.91639876,0.5924039,-0.93983287,-0.13552535,0.40977266,-0.44754985,-0.77416563,1
-0.85010964,0.546778,-0.9511081,-0.25980735,0.35872114,-0.4504315,-0.8670841,1
-0.3557451,0.65652835,-0.9455043,-0.78714377,0.3085808,-0.44797498,-0.67863405,0
-0.0856787,0.51816064,-0.9678059,-0.3526236,0.27423686,-0.5409962,-0.5329557,0
-0.7632983,0.44448596,-0.966919,-0.5425246,0.21025284,-0.4265511,-0.58028084,0
-0.63375896,0.88390446,-0.90586656,-0.6076356,-0.107343465,-0.50804716,-0.72845674,1
-0.76228654,0.4436748,-0.9674636,-0.52377236,0.23703574,-0.43142864,-0.6650538,0
-0.8700758,0.61790204,-0.9385395,-0.29537228,0.24092314,-0.49331167,-0.5975193,1
-0.8579789,0.56830513,-0.9218492,-0.1978043,0.43831885,-0.36860383,-0.51269746,1
-0.6257315,0.8398098,-0.9128274,-0.6354684,-0.061382204,-0.49655625,-0.71819854,1
-0.81519186,0.58602417,-0.945412,-0.39458346,0.17442606,-0.51354706,-0.6109401,1
-0.83996373,0.48145044,-0.955279,-0.30940264,0.40798897,-0.39471638,-0.74178386,0
-0.5276145,0.58745927,-0.9543541,-0.8254312,0.11763519,-0.50363356,-0.7406916,0
0.16050833,0.40214342,-0.9789474,0.2921555,-0.7171872,-0.5023665,-0.9561477,0
-0.69555557,0.531744,-0.9564648,-0.6119285,0.12526722,-0.46000028,-0.61487514,1
-0.6653489,0.77820784,-0.91888344,-0.6819131,-0.17607805,-0.5671139,-0.4038627,0
-0.74461997,0.57207704,-0.94659674,-0.42722178,0.2435761,-0.4708732,-0.6427873,1
-0.8414175,0.60388505,-0.92846745,-0.29265913,0.25591847,-0.49519548,-0.7081719,1
-0.74158645,0.51230663,-0.9597939,-0.494536,0.204803,-0.4645454,-0.74389076,1
-0.8521854,0.78900605,-0.9119023,-0.3259225,0.056575343,-0.56117606,-0.53073716,1
-0.35077336,0.78670573,-0.91998893,-0.810956,0.16618252,-0.3562873,-0.71821725,0
-0.8214976,0.63820714,-0.93275434,-0.34713694,0.21889484,-0.45674527,-0.546643,1
-0.7271229,0.57636034,-0.9466054,-0.4996163,0.14201616,-0.5296184,-0.5957694,0
-0.67927116,0.9023249,-0.90171504,-0.51199776,-0.05950366,-0.50513256,-0.7139579,1
-0.7221873,0.6460128,-0.9371163,-0.5535264,0.06109087,-0.5307852,-0.46924704,0
-0.55801135,0.45945203,-0.97091854,-0.8427738,0.08760885,-0.46288,-0.64245564,0
-0.74108624,0.47736964,-0.96430653,-0.54021275,0.20761362,-0.45460004,-0.709221,1
-0.7581626,0.55611324,-0.95120186,-0.6091137,0.032703117,-0.50080025,-0.3620963,0
-0.86561906,0.58712363,-0.9432409,-0.30109355,0.24114355,-0.5063291,-0.67780113,1
-0.5397896,0.74893194,-0.92758644,-0.71661466,0.23280028,-0.46235862,-0.7151263,0
-0.7288943,0.4627686,-0.9660193,-0.55686754,0.17278415,-0.48022646,-0.61819786,1
-0.25080585,0.7215826,-0.9399156,-0.8517443,0.41934454,-0.52258545,-0.7048704,0
-0.75612825,0.520102,-0.957153,-0.5543123,0.09813555,-0.50880104,-0.52075374,0
-0.6691287,0.5780451,-0.9508654,-0.6740247,-0.0041330457,-0.5090226,-0.55665886,0
-0.2734617,0.62547946,-0.95301294,-0.99185693,0.17764354,-0.45108673,-0.6686935,0
0.74995875,0.81446356,-0.92313045,0.19263083,0.67929167,-0.71041834,-0.24773446,0
-0.68653536,0.65943235,-0.9371004,-0.5907619,0.0724514,-0.4934538,-0.63008726,0
-0.72349995,0.56066066,-0.95127696,-0.58712,0.08762789,-0.4803239,-0.50862855,0
-0.2227591,0.69828326,-0.9391611,-0.6589346,0.44572365,-0.49020544,-0.5410635,0
-0.6661402,0.6089314,-0.9468795,-0.64964604,0.017553583,-0.5224294,-0.608653,0
