0,1,2,3,4,5,label
-0.7505584,0.7329861,-0.9355403,-0.45923626,-0.018496275,-0.3633673,1
-0.68758225,0.36680603,-0.9713755,-0.6513321,-0.038412765,-0.30476987,0
-0.79345566,0.30517516,-0.96747905,-0.37174198,-0.37078452,-0.14105923,0
-0.8593115,0.519539,-0.95205975,-0.22642353,-0.24592635,-0.35520923,1
-0.61797446,0.51640123,-0.96015257,-0.7380806,-0.015342921,-0.36111462,0
-0.72890127,0.6697386,-0.94096553,-0.42849058,-0.1039126,-0.27739394,1
-0.9321717,0.5185061,-0.94822925,-0.033159196,-0.4117046,-0.3164814,1
-0.8638146,0.45890498,-0.95760316,-0.15904541,-0.37365592,-0.3402645,1
-0.7712431,0.3279938,-0.97069263,-0.45349455,-0.2476736,-0.21389341,0
-0.96124506,0.5828912,-0.9376456,0.055956572,-0.42268905,-0.28819582,1
-0.6489967,0.8727938,-0.9252093,-0.561779,0.06751624,-0.37167978,1
-0.7698401,0.327488,-0.9709991,-0.4315693,-0.27545407,-0.24386515,0
-0.8844836,0.5475471,-0.94758594,-0.21000771,-0.24708898,-0.31231624,1
-0.64083064,0.81762713,-0.93067104,-0.58775413,0.024463907,-0.35545805,1
-0.78634953,0.45529893,-0.96066296,-0.33533397,-0.2614291,-0.3538162,1
-0.81427956,0.5523022,-0.94680387,-0.31013626,-0.2235483,-0.19040865,0
0.15643549,0.27773014,-0.9796037,0.33734196,0.6932332,-0.4654401,0
-0.7055978,0.43617296,-0.9635575,-0.5354231,-0.15960258,-0.27714518,1
-0.6800518,0.74265575,-0.935359,-0.64488316,0.13471329,-0.34315258,0
-0.75896263,0.4900236,-0.9549932,-0.34516883,-0.2625598,-0.30260205,1
-0.9000133,0.7228031,-0.92839295,-0.18361376,-0.15071681,-0.25591302,1
-0.79349667,0.48424345,-0.9575536,-0.33369234,-0.21230975,-0.35612854,1
-0.854758,0.53507715,-0.94067925,-0.20681408,-0.26713055,-0.34719828,1
-0.75141215,0.41253844,-0.96594787,-0.4077053,-0.23930246,-0.31990975,1
-0.8690277,0.76091737,-0.9277873,-0.26428947,-0.060087115,-0.37750858,1
-0.35723668,0.7559011,-0.9366931,-0.75010926,-0.22813019,-0.18212643,0
-0.83543587,0.57438254,-0.9440778,-0.2698956,-0.22696242,-0.25492194,1
-0.6156385,0.5029184,-0.9611028,-0.6514176,-0.07337575,-0.32088223,0
-0.75494367,0.7215343,-0.93609077,-0.42078608,-0.059123337,-0.35562235,1
-0.72031456,0.36732382,-0.97009736,-0.5376191,-0.15551972,-0.29449433,0
-0.695796,0.89762557,-0.9212778,-0.4650091,0.02986215,-0.3619389,1
-0.7361299,0.5811152,-0.94824666,-0.49124932,-0.08326052,-0.3121337,0
-0.5641612,0.34536064,-0.97623324,-0.7674787,-0.13924545,-0.2749326,0
-0.75010145,0.36942595,-0.96924615,-0.45159003,-0.24243489,-0.2950646,1
-0.70969445,0.3977654,-0.96777207,-0.6205727,-0.04001154,-0.29484454,0
-0.8493029,0.5785529,-0.9446976,-0.27015364,-0.2241311,-0.2802481,1
-0.87774193,0.50994045,-0.951988,-0.21331094,-0.25433606,-0.35201213,1
-0.73611987,0.35239944,-0.9706337,-0.4689932,-0.20983025,-0.2965186,1
-0.23528832,0.55667764,-0.967365,-0.73873425,-0.50634325,-0.41999197,0
-0.2570294,0.6704627,-0.95405304,-0.77635443,-0.469554,-0.38885483,0
-0.8952228,0.5035032,-0.95232475,-0.09601393,-0.404884,-0.35581806,1
0.057696044,0.72371894,-0.94413906,-0.7820288,-0.5301982,-0.093352124,0
-0.56495404,0.511689,-0.96015227,-0.7371291,-0.09135423,-0.28958482,0
-0.7667934,0.4215955,-0.9637795,-0.4788371,-0.13030517,-0.31045797,0
-0.6779041,0.4935363,-0.9602569,-0.61074126,-0.041575655,-0.3166313,0
0.7521901,0.80112106,-0.93705684,0.27663654,-0.67049515,-0.50447583,0
-0.69936615,0.5951877,-0.9490723,-0.5259693,-0.10344235,-0.32211578,0
-0.2267954,0.64605486,-0.9513868,-0.5737304,-0.46540478,-0.26820296,0
-0.6782386,0.53142637,-0.9568204,-0.58543754,-0.05092594,-0.35223365,0
-0.89734864,0.4821856,-0.9538041,-0.07991931,-0.4229538,-0.32261693,1
-0.9049886,0.6877785,-0.93462336,-0.18791269,-0.112799145,-0.38902372,1
-0.76452607,0.42843705,-0.96326214,-0.3953199,-0.23835413,-0.32676452,1
-0.86824024,0.5232801,-0.9514615,-0.17387852,-0.29041252,-0.35899597,1
0.054480612,0.45885304,-0.97513014,-0.39390546,-0.5395862,-0.34171173,0
-0.8564175,0.5471449,-0.94937223,-0.26657814,-0.20115468,-0.33958763,1
-0.46997195,0.8985754,-0.926606,-0.7037228,-0.035815164,-0.336798,1
-0.6276805,0.64984083,-0.94806355,-0.5404253,-0.083602965,-0.3719618,1
-0.8463866,0.43695453,-0.95903695,-0.18546441,-0.38702875,-0.30919528,1
-0.03470868,0.35383293,-0.98358035,-0.082452595,-0.15994701,-0.4534147,0
-0.34909078,0.67803025,-0.9498017,-0.89017177,-0.120029725,-0.25193453,0
-0.9243674,0.58478963,-0.9308917,-0.028027296,-0.38653225,-0.22088777,1
-0.8011369,0.6342929,-0.94440347,-0.24586199,-0.21357045,-0.35477546,1
-0.94959545,0.63837683,-0.9354348,-0.06417006,-0.25508088,-0.31738916,1
-0.8419933,0.504002,-0.95244455,-0.27352384,-0.25034294,-0.28946108,1
-0.8568776,0.7327293,-0.930808,-0.24482834,-0.1196839,-0.33070433,1
