0,1,2,3,4,5,6,label
-0.75055957,0.7329811,-0.9355414,-0.4592281,-0.018465817,-0.362522,0.051131576,1
-0.6875821,0.3667975,-0.97137517,-0.6513311,-0.038379356,-0.3041136,0.119142324,0
-0.7934552,0.30516255,-0.9674792,-0.37173936,-0.37078243,-0.1402862,0.017392963,0
-0.8593116,0.5195304,-0.9520602,-0.22642285,-0.24587457,-0.35454857,-0.048160315,1
-0.61797476,0.5163925,-0.9601531,-0.73807615,-0.015344068,-0.36017656,0.095793515,0
-0.7289017,0.66973263,-0.9409663,-0.42848873,-0.10386609,-0.27664644,0.041883107,1
-0.9321716,0.51849747,-0.94822973,-0.033157736,-0.4117102,-0.315736,-0.08351412,1
-0.86381435,0.45889524,-0.9576036,-0.15904395,-0.37362337,-0.33954102,-0.14579661,1
-0.7712427,0.3279818,-0.9706928,-0.45349285,-0.24763645,-0.21334998,0.027367719,0
-0.96124494,0.58288366,-0.9376462,0.05595681,-0.4226914,-0.28743857,-0.07927838,1
-0.64899755,0.87279135,-0.9252104,-0.5617764,0.067573786,-0.3707964,-0.015688812,1
-0.76983976,0.3274759,-0.97099924,-0.4315675,-0.27542502,-0.24325114,-0.024639629,0
-0.8844837,0.547539,-0.9475865,-0.2100052,-0.24708363,-0.31153795,0.038839903,1
-0.64083135,0.81762373,-0.93067205,-0.58775204,0.024527207,-0.3546853,-0.019797742,1
-0.7863495,0.4552891,-0.9606634,-0.33533093,-0.26141226,-0.35296032,-0.06438523,1
-0.8142796,0.55229414,-0.9468044,-0.31013477,-0.22354221,-0.18961668,0.10351779,0
0.15643597,0.27771744,-0.97960377,0.33734298,0.6933234,-0.46494094,-0.064213976,0
-0.70559776,0.4361629,-0.96355784,-0.535421,-0.15956119,-0.27646428,0.027652074,1
-0.6800524,0.74265116,-0.9353599,-0.6448797,0.13474628,-0.34233034,0.20664105,0
-0.75896263,0.4900145,-0.9549936,-0.34516752,-0.26255903,-0.30202913,0.03504794,1
