0,1,2,3,4,5,6,7,label
-0.7015673,0.68936265,-0.94195694,-0.4134697,-0.029991135,-0.49576205,0.03016065,0.024588063,1
-0.63912255,0.2927571,-0.9737582,-0.5982211,-0.047160685,-0.41672167,0.22191167,0.04446727,0
-0.19475132,0.9324827,-0.92807525,-0.6393772,-0.15997118,-0.26723856,-0.49565968,0.09143024,1
-0.32151496,0.59966934,-0.9541825,-0.6592419,-0.1475329,-0.30494422,-0.52573204,0.096617855,1
-0.7525116,0.22763477,-0.9682457,-0.36605978,-0.4082002,-0.23338482,-0.2642743,-0.041042402,0
-0.55752754,0.45596102,-0.9643402,-0.6618429,-0.018215075,-0.47887212,0.062462837,-0.037218034,0
-0.91100335,0.51343787,-0.94597346,-0.08671591,-0.38276815,-0.40654114,-0.08776492,-0.023429364,1
-0.78214,0.5589506,-0.94839543,-0.40511855,-0.034557164,-0.39715645,0.38987547,0.019404192,0
-0.9034232,0.4571235,-0.95148724,-0.06990489,-0.46150357,-0.45128036,-0.29444948,0.03458649,1
-0.28147903,0.5392625,-0.9621267,-0.64876354,-0.33547753,-0.3936746,-0.24111438,-0.087431885,0
0.0123083,0.34865552,-0.97691673,-0.2500436,-0.32002366,-0.48720843,0.16759712,-0.0054634544,0
-0.93532467,0.5283749,-0.94138354,0.010777086,-0.4765128,-0.4179735,-0.35943985,-0.044080827,1
-0.72725356,0.25097537,-0.9724038,-0.4160769,-0.3034075,-0.36137012,-0.22028023,0.03794083,0
-0.85007906,0.48864532,-0.9513633,-0.2152644,-0.285809,-0.43705586,-0.0006117746,0.0369452,1
-0.83435094,0.43879384,-0.938987,-0.13475944,-0.47829553,-0.20785761,-0.13202493,-0.14811505,1
-0.57876223,0.7828672,-0.9381678,-0.5163668,0.038022876,-0.49025506,-0.21153888,-0.02473004,1
-0.789601,0.4440124,-0.95773953,-0.303923,-0.22459401,-0.47520012,0.02642183,0.059317507,1
-0.8137295,0.30855942,-0.96201885,-0.22325543,-0.47339016,-0.33769682,-0.39079204,-0.008021792,0
-0.7429817,0.38986817,-0.9635782,-0.32801074,-0.28859708,-0.49494004,-0.23760393,0.030802205,1
-0.7727981,0.49554715,-0.95036566,-0.29316062,-0.2495456,-0.29170048,-0.042418703,-0.10916734,0
-0.4676472,0.4447386,-0.96773773,-0.68899757,-0.16737741,-0.47346795,-0.2787482,-0.035297032,0
0.27029866,0.17400315,-0.97948843,0.36254364,0.6608642,-0.54448324,-0.54301476,-0.19027632,0
-0.6526049,0.36945337,-0.96642524,-0.49647945,-0.17212066,-0.39557484,-0.11398214,-0.01386697,1
-0.62472177,0.6998182,-0.9421393,-0.5669793,0.13764337,-0.4639842,0.29955527,-0.06531156,0
-0.8661767,0.6768624,-0.93431425,-0.18329324,-0.1941166,-0.35736018,0.2416943,-0.009483351,1
-0.753412,0.4205864,-0.9608248,-0.32398668,-0.23811224,-0.49154094,-0.063215375,0.038067702,1
-0.8180563,0.47615886,-0.9443607,-0.21319859,-0.3017343,-0.48669448,-0.14023583,0.038917355,1
-0.7042339,0.34355736,-0.96844816,-0.38957873,-0.2578039,-0.4572296,-0.25201362,0.036065195,1
-0.8308643,0.7184195,-0.9343703,-0.24618818,-0.087656274,-0.50997776,0.17820549,0.036819365,1
-0.5519911,0.4429693,-0.96507204,-0.5931109,-0.07071689,-0.46206036,-0.30981347,-0.035809,0
-0.7077486,0.6783116,-0.9421663,-0.3803034,-0.059392825,-0.49663505,-0.15905182,0.014673238,1
-0.6753308,0.29350504,-0.9722329,-0.5030135,-0.16954444,-0.41096133,0.018453822,0.019745508,0
-0.69426763,0.4308289,-0.9597908,-0.4017054,-0.19828661,-0.4809187,0.022259861,-0.03223578,0
-0.63797605,0.86794055,-0.9297167,-0.40734893,0.0344674,-0.5046472,-0.19549479,-0.03205732,1
-0.68765956,0.5250642,-0.9529135,-0.4508832,-0.10533561,-0.4218754,0.18057218,-0.02933243,0
-0.5000654,0.2718111,-0.978337,-0.7024808,-0.14231789,-0.38663283,-0.16913363,-0.014778114,0
-0.70351505,0.29619524,-0.9712971,-0.42980614,-0.2649232,-0.4239866,-0.23751253,0.027694194,1
-0.72429025,0.40219635,-0.9620533,-0.4961087,-0.07951547,-0.34926307,0.31622538,0.030038951,0
-0.6630076,0.32586017,-0.9704354,-0.5688138,-0.05277352,-0.4001858,0.33244273,0.03172586,0
-0.80940485,0.52241886,-0.94898,-0.26352316,-0.25584728,-0.39933613,-0.03542462,-0.030521661,1
-0.8450445,0.44579822,-0.95553213,-0.22070597,-0.29349267,-0.48979604,-0.064685374,0.084417425,1
-0.48271656,0.6631821,-0.94809455,-0.59100366,-0.2630506,-0.41236615,-0.32427436,-0.05592875,0
-0.6905403,0.2769616,-0.9725413,-0.44822225,-0.23693441,-0.41327032,-0.0558912,0.04462359,1
-0.14148134,0.5034928,-0.97204065,-0.6830231,-0.48169452,-0.5561231,-0.5110061,-0.051242348,0
-0.16652119,0.6258711,-0.95998025,-0.710474,-0.43947062,-0.49504748,-0.17573825,-0.036383506,0
-0.86128104,0.44128048,-0.95550704,-0.12260479,-0.44821802,-0.5099089,-0.46420354,0.039271947,1
0.1776514,0.69496495,-0.949926,-0.7177224,-0.5010386,-0.20451131,-0.6941321,0.24312443,0
-0.49984983,0.4513978,-0.96415204,-0.66420245,-0.07714796,-0.4060164,-0.19230255,-0.0354302,0
-0.18364003,0.49527678,-0.969103,-0.83253956,-0.20829532,-0.39277676,-0.23733082,-0.0881061,0
-0.644946,0.5414232,-0.95381945,-0.4781837,-0.11170606,-0.4425054,-0.08022584,-0.008825071,0
-0.68672216,0.40898448,-0.96258897,-0.47641546,-0.13569526,-0.3802014,0.06278472,0.009974853,0
-0.13380075,0.599855,-0.9565844,-0.529336,-0.46588594,-0.37178972,-0.010448642,-0.037755314,0
-0.6238606,0.47268873,-0.9610336,-0.5322403,-0.060943574,-0.48260853,0.0007395074,-0.011835329,0
-0.8638977,0.41862917,-0.95663,-0.11169979,-0.4690093,-0.46773928,-0.43145958,0.021747367,1
-0.8339375,0.46214193,-0.95505834,-0.1884916,-0.32541847,-0.5036551,-0.17433482,0.050680656,1
0.17079961,0.38783392,-0.9790273,-0.3767944,-0.5620179,-0.49805313,0.18589878,-0.07459431,0
-0.8199441,0.48783332,-0.9533513,-0.26329032,-0.232718,-0.47847027,-0.07496638,0.05933304,1
-0.39265513,0.87361884,-0.9348044,-0.61506194,0.00731124,-0.4676717,-0.60886914,-0.005569993,1
-0.5677084,0.60152656,-0.95354843,-0.48814473,-0.070667356,-0.5268394,-0.52801347,-0.010699735,1
0.06052184,0.2644866,-0.9863288,-0.09478137,-0.19597882,-0.59921044,0.088498786,-0.1289731,0
-0.2582294,0.6319215,-0.9560461,-0.7871899,-0.080070406,-0.35635737,-0.54436564,-0.04210065,0
-0.8954088,0.5304387,-0.9354368,-0.05842769,-0.4399113,-0.31611985,-0.021975383,-0.07979118,1
