0,1,2,3,label
-0.6586411,0.3369773,-0.97391516,-0.71957743,0
-0.26929802,0.93535316,-0.9237093,-0.77380145,1
-0.37807828,0.62319815,-0.95166945,-0.7927164,1
-0.83158225,0.48698995,-0.95747715,-0.30136502,1
-0.5878728,0.49055064,-0.96284515,-0.7944703,0
-0.7056097,0.64297384,-0.94588286,-0.48958185,1
-0.9139681,0.53831637,-0.9488238,-0.13839474,1
-0.79749715,0.5840373,-0.9484646,-0.508133,0
-0.8348422,0.4248892,-0.96298456,-0.23890336,1
-0.3423288,0.5649679,-0.9601496,-0.7756062,0
-0.07713848,0.39109337,-0.9775847,-0.34802973,0
-0.7438135,0.29547364,-0.97406125,-0.53295827,0
-0.936396,0.54951715,-0.9449538,-0.024765432,1
-0.6247671,0.85113245,-0.930276,-0.6029228,1
-0.84859717,0.46720275,-0.9423761,-0.19270822,1
-0.8005219,0.47514635,-0.9591135,-0.38307267,1
-0.8230121,0.3467052,-0.9654067,-0.28731295,0
-0.7566324,0.4236188,-0.965076,-0.40936622,1
-0.79104316,0.52383476,-0.95140713,-0.3787887,0
-0.5066246,0.47848806,-0.96594316,-0.8149309,0
0.1755544,0.25281295,-0.98149484,0.29881012,0
-0.6760199,0.40740308,-0.966885,-0.6054924,1
-0.65753186,0.7195301,-0.9397728,-0.6945023,0
-0.7289103,0.45959583,-0.95952857,-0.42054695,1
-0.8776761,0.6928148,-0.9352728,-0.24891405,1
-0.76550156,0.45294273,-0.96213686,-0.4053462,1
-0.8285023,0.5021652,-0.9459202,-0.27844954,1
-0.845899,0.7323774,-0.9342916,-0.32301635,1
-0.33405143,0.7355222,-0.93976754,-0.8035862,0
-0.8105521,0.5444978,-0.9495756,-0.33814967,1
-0.58423257,0.4764227,-0.96402097,-0.7148682,0
-0.7313187,0.6954018,-0.94136465,-0.47712463,1
-0.6914958,0.33637822,-0.9732052,-0.61031896,0
-0.7116869,0.46341097,-0.96061856,-0.49533984,0
-0.6726549,0.875502,-0.92705363,-0.5098764,1
-0.708424,0.5514562,-0.95282924,-0.5509924,0
-0.5327806,0.31755143,-0.9777756,-0.83552814,0
-0.7209698,0.33751255,-0.97275573,-0.5275317,1
-0.7422368,0.4378916,-0.9626366,-0.6079521,0
-0.68115324,0.3678456,-0.97060114,-0.68842965,0
-0.8223006,0.5480639,-0.9504666,-0.3400675,1
-0.85182345,0.4765553,-0.9574632,-0.28553683,1
-0.52756673,0.6821929,-0.94595647,-0.70049083,0
-0.21149766,0.52929765,-0.96940583,-0.8038869,0
-0.23647979,0.6433299,-0.9569878,-0.83448446,0
-0.866869,0.46958953,-0.95826757,-0.17518723,1
0.06902945,0.7079192,-0.94630027,-0.85535026,0
-0.5375839,0.48727018,-0.9625855,-0.7958901,0
-0.7372633,0.39057982,-0.9674234,-0.55122614,0
-0.65153944,0.46644294,-0.9631828,-0.67297214,0
-0.2531117,0.52690077,-0.96566033,-0.9823439,0
0.7227419,0.7719004,-0.94360745,0.20657212,0
-0.7071937,0.44368976,-0.9631286,-0.5848294,0
-0.2123014,0.61934924,-0.9550128,-0.6379355,0
-0.6476725,0.50333124,-0.96042484,-0.64756215,0
-0.8685743,0.44810915,-0.9597078,-0.16205642,1
-0.8813263,0.65665543,-0.94120526,-0.25191844,1
-0.7347245,0.3972628,-0.9672703,-0.46817377,1
0.06478083,0.42385867,-0.9788088,-0.4789617,0
-0.8299829,0.51615995,-0.95473254,-0.33878338,1
-0.59982675,0.62551045,-0.9518329,-0.5939133,1
-0.81647974,0.40356448,-0.9640712,-0.26589268,1
-0.026604176,0.31929532,-0.9870235,-0.17485693,0
-0.32157242,0.6576573,-0.95182097,-0.93784714,0
-0.7754682,0.606006,-0.94985473,-0.31199777,1
-0.5602569,0.42653587,-0.96907955,-0.77994287,0
-0.9277793,0.6069883,-0.9421887,-0.13490728,1
-0.81549734,0.47222465,-0.9576756,-0.34818187,1
-0.8321208,0.7031453,-0.93735456,-0.30615872,1
-0.6443548,0.5102881,-0.9604802,-0.65744174,0
-0.4179263,0.5027421,-0.9642889,-0.87428033,0
-0.29879808,0.48740205,-0.96617794,-0.8477529,0
-0.83462983,0.6552894,-0.93906283,-0.27963132,1
-0.47969168,0.39314678,-0.9737823,-0.8345957,0
-0.28811705,0.60922974,-0.96116006,-0.8921832,0
-0.66946745,0.31841403,-0.9750038,-0.7041012,0
-0.8264964,0.6349762,-0.942959,-0.34967095,1
-0.663359,0.8696281,-0.9285082,-0.47182927,1
-0.6705477,0.27518195,-0.9794586,-0.6113162,0
-0.6375281,0.55461377,-0.952414,-0.5084607,0
-0.7540747,0.5179383,-0.9560081,-0.49913192,1
-0.8915038,0.6147357,-0.9450105,-0.16348279,1
-0.48675382,0.7031023,-0.9462376,-0.8050344,0
-0.8779324,0.5303959,-0.95267516,-0.17710361,1
-0.81112194,0.5245717,-0.9552503,-0.331445,1
-0.21379754,0.34021488,-0.98111033,-0.7159261,0
-0.11922869,0.6031616,-0.96059436,-0.7483371,0
-0.7180182,0.30285925,-0.97275114,-0.6302719,0
-0.20368809,0.4040277,-0.96786106,-0.37740844,0
0.18026716,0.55902445,-0.94176644,-0.60755694,0
-0.8482767,0.4678188,-0.95741415,-0.17750466,1
-0.7656314,0.42947692,-0.9585656,-0.2706903,1
0.2638669,0.5606728,-0.95551527,-0.1290901,0
-0.41184896,0.47884727,-0.96398705,-0.7461647,0
-0.7245668,0.5032882,-0.9580597,-0.52083445,0
-0.15252894,0.385127,-0.97651535,-0.7306238,0
