0,1,2,label
-0.7015658,0.6893624,-0.9419568,1
-0.6391219,0.29275763,-0.9737582,0
-0.19475234,0.93248236,-0.92807555,1
-0.3215148,0.5996692,-0.9541829,1
-0.7525108,0.22763483,-0.96824586,0
-0.5575271,0.4559612,-0.9643403,0
-0.911003,0.5134377,-0.9459735,1
-0.78213966,0.5589505,-0.94839567,0
-0.90342283,0.45712322,-0.9514874,1
-0.28147897,0.5392626,-0.9621269,0
0.012308955,0.34865597,-0.97691727,0
-0.93532455,0.52837473,-0.9413836,1
-0.7272528,0.25097534,-0.972404,0
-0.8500787,0.48864502,-0.95136356,1
-0.8343505,0.43879393,-0.93898714,1
-0.5787625,0.7828673,-0.9381681,1
-0.7896006,0.4440122,-0.95773983,1
-0.8137288,0.30855936,-0.962019,0
-0.74298114,0.38986805,-0.9635785,1
-0.7727978,0.49554724,-0.9503659,0
-0.46764678,0.4447387,-0.9677379,0
0.27030003,0.17400354,-0.97948843,0
-0.65260434,0.36945352,-0.96642554,1
-0.62472177,0.69981825,-0.94213945,0
-0.8661767,0.6768622,-0.9343144,1
-0.7534116,0.4205863,-0.960825,1
-0.81805587,0.47615856,-0.944361,1
-0.7042333,0.3435573,-0.96844846,1
-0.8308642,0.718419,-0.9343705,1
-0.55199057,0.4429694,-0.96507233,0
-0.7077486,0.67831147,-0.9421666,1
-0.6753301,0.29350513,-0.9722331,0
-0.69426715,0.43082887,-0.9597909,0
-0.63797647,0.8679404,-0.92971694,1
-0.6876592,0.5250642,-0.95291364,0
-0.5000647,0.27181134,-0.9783372,0
-0.70351434,0.2961952,-0.9712973,1
-0.7242897,0.40219635,-0.96205366,0
-0.66300696,0.32586026,-0.9704356,0
-0.8094045,0.5224188,-0.9489802,1
-0.84504396,0.44579786,-0.9555324,1
-0.48271674,0.6631821,-0.94809467,0
-0.69053954,0.27696157,-0.9725415,1
-0.14148116,0.5034929,-0.9720409,0
-0.16652119,0.62587106,-0.9599805,0
-0.8612805,0.4412802,-0.95550734,1
0.1776511,0.6949649,-0.94992614,0
-0.4998495,0.45139802,-0.9641523,0
-0.18363976,0.49527717,-0.9691033,0
-0.6449457,0.5414232,-0.9538197,0
-0.6867216,0.4089845,-0.96258926,0
-0.13380083,0.5998552,-0.9565848,0
-0.6238602,0.47268882,-0.9610338,0
-0.8638972,0.41862896,-0.95663023,1
-0.83393705,0.46214172,-0.9550586,1
0.17080009,0.3878345,-0.9790278,0
-0.81994355,0.4878331,-0.95335156,1
-0.39265555,0.8736186,-0.9348046,1
-0.5677083,0.6015266,-0.9535487,1
0.060522437,0.26448703,-0.98632914,0
-0.2582293,0.6319215,-0.95604634,0
-0.8954085,0.53043854,-0.9354369,1
