0,1,2,label
-0.658641,0.33699054,-0.9739137,0
-0.26929796,0.93535113,-0.92370963,1
-0.37807816,0.62320495,-0.95166945,1
-0.8315821,0.4869993,-0.9574763,1
-0.5878726,0.49056044,-0.962844,0
-0.7056097,0.64298034,-0.94588155,1
-0.9139681,0.53832465,-0.94882286,1
-0.797497,0.5840449,-0.9484633,0
-0.8348422,0.42489964,-0.9629838,1
-0.34232867,0.56497633,-0.96014833,0
-0.077138364,0.3911048,-0.977584,0
-0.7438133,0.29548675,-0.9740608,0
-0.936396,0.549525,-0.9449529,1
-0.6247672,0.85113513,-0.9302741,1
-0.84859705,0.46721214,-0.9423752,1
-0.80052185,0.47515595,-0.9591126,1
-0.823012,0.34671715,-0.9654061,0
-0.7566322,0.42362943,-0.9650752,1
-0.79104304,0.52384347,-0.9514061,0
-0.5066244,0.47849813,-0.96594214,0
0.17555445,0.25282672,-0.98149484,0
-0.6760197,0.40741414,-0.96688414,1
-0.65753174,0.71953535,-0.9397711,0
-0.7289102,0.4596059,-0.9595276,1
-0.8776761,0.6928202,-0.93527144,1
-0.7655014,0.45295286,-0.962136,1
-0.8285022,0.502174,-0.9459193,1
-0.8458989,0.7323821,-0.9342901,1
-0.33405137,0.7355273,-0.9397658,0
-0.810552,0.5445061,-0.94957465,1
-0.5842325,0.47643262,-0.96401983,0
-0.73131865,0.69540715,-0.94136316,1
-0.6914955,0.33639067,-0.97320443,0
-0.71168673,0.463421,-0.96061754,0
-0.672655,0.8755041,-0.9270517,1
-0.70842385,0.55146456,-0.95282805,0
-0.53278035,0.31756455,-0.97777486,0
-0.7209697,0.33752492,-0.9727551,1
-0.7422365,0.43790203,-0.9626357,0
-0.6811528,0.36785755,-0.97060037,0
-0.8223005,0.54807204,-0.9504655,1
-0.8518232,0.4765648,-0.95746243,1
-0.5275667,0.682199,-0.9459553,0
-0.21149758,0.5293069,-0.96940476,0
-0.23647967,0.64333695,-0.95698655,0
-0.866869,0.46959907,-0.9582668,1
0.06902945,0.70792484,-0.94629854,0
-0.5375837,0.48727998,-0.9625844,0
-0.7372631,0.39059126,-0.9674225,0
-0.6515392,0.46645308,-0.9631818,0
-0.25311148,0.5269101,-0.9656592,0
0.7227424,0.7719047,-0.94360685,0
-0.7071935,0.44370016,-0.96312773,0
-0.21230146,0.61935645,-0.9550117,0
-0.6476724,0.50334054,-0.96042365,0
-0.8685743,0.44811913,-0.95970696,1
-0.8813263,0.65666145,-0.9412039,1
-0.7347244,0.397274,-0.9672695,1
0.06478119,0.4238695,-0.9788081,0
-0.82998276,0.5161688,-0.9547316,1
-0.59982663,0.62551755,-0.9518315,1
-0.8164797,0.40357542,-0.9640704,1
-0.026604295,0.31930816,-0.9870231,0
-0.32157224,0.65766406,-0.9518194,0
-0.7754682,0.6060132,-0.9498536,1
-0.5602567,0.42654675,-0.9690784,0
-0.9277793,0.6069952,-0.94218755,1
-0.8154972,0.47223425,-0.9576747,1
-0.8321208,0.7031505,-0.93735313,1
-0.6443547,0.5102974,-0.9604792,0
-0.41792613,0.5027517,-0.96428776,0
-0.29879802,0.48741183,-0.9661768,0
-0.8346297,0.6552955,-0.9390616,1
-0.47969154,0.39315838,-0.97378147,0
-0.28811687,0.60923755,-0.9611587,0
-0.6694672,0.3184269,-0.9750031,0
-0.8264963,0.6349827,-0.94295776,1
-0.663359,0.86963034,-0.9285064,1
-0.67054754,0.27519554,-0.97945803,0
-0.637528,0.55462193,-0.9524128,0
-0.75407445,0.5179472,-0.95600706,1
-0.8915037,0.6147425,-0.9450093,1
-0.48675376,0.703108,-0.94623613,0
-0.8779324,0.5304044,-0.95267427,1
-0.8111218,0.5245804,-0.95524937,1
-0.21379727,0.34022754,-0.9811096,0
-0.11922851,0.6031693,-0.96059316,0
-0.71801794,0.3028723,-0.9727506,0
-0.2036879,0.4040387,-0.9678603,0
0.18026775,0.5590326,-0.9417653,0
-0.8482766,0.46782842,-0.95741326,1
-0.7656314,0.42948738,-0.9585648,1
0.26386726,0.56068105,-0.9555146,0
-0.41184884,0.47885707,-0.9639859,0
-0.72456664,0.5032975,-0.95805866,0
